Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 128.0.0.0,,,18-09-2024 10:39:16,18-09-2024 10:39:27,11.027s,PASSED
,,,,,,,
Test Cases/LoginTest/Login,Chrome 128.0.0.0,,,18-09-2024 10:39:16,18-09-2024 10:39:27,10.680s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,18-09-2024 10:39:17,18-09-2024 10:39:19,2.665s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 128.0.0.0,,,18-09-2024 10:39:19,18-09-2024 10:39:22,2.734s,PASSED
"click(findTestObject(""Object Repository/LoginTest/Page_Demo Web Shop/a_Log in""))",Chrome 128.0.0.0,,,18-09-2024 10:39:22,18-09-2024 10:39:23,1.068s,PASSED
"setText(findTestObject(""Object Repository/LoginTest/Page_Demo Web Shop. Login/input_Email_Email""), Username)",Chrome 128.0.0.0,,,18-09-2024 10:39:23,18-09-2024 10:39:24,0.733s,PASSED
"setText(findTestObject(""Object Repository/LoginTest/Page_Demo Web Shop. Login/input_Password_Password""), Password)",Chrome 128.0.0.0,,,18-09-2024 10:39:24,18-09-2024 10:39:24,0.634s,PASSED
"click(findTestObject(""Object Repository/LoginTest/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 128.0.0.0,,,18-09-2024 10:39:24,18-09-2024 10:39:26,1.768s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,18-09-2024 10:39:26,18-09-2024 10:39:27,0.337s,PASSED
